City,State,accident_count,avg_severity,max_severity,night_accidents,weekend_accidents,avg_temperature,avg_visibility,avg_wind_speed,precipitation_accidents,night_accident_rate,weekend_accident_rate,precipitation_rate,tourist_visit_count,avg_stay_nights,total_stay_nights,avg_spending,avg_satisfaction,avg_party_size,tourist_density,avg_traffic_severity,max_traffic_severity,traffic_incident_count,avg_traffic_volume,avg_speed,dominant_weather
Abbeville,SC,4,2.0,2,0,0,73.975,8.125,6.35,0,0.0,0.0,0.0,0.0,3.01246551115271,2360.0,205.38929301425264,4.185904382554643,2.1505231472501176,796.5,2.491570639305446,4.0,0.0,2692.789815241675,34.49765336373367,Unknown
Acampo,CA,4,2.0,2,1,0,69.42500000000001,9.75,10.675,0,0.25,0.0,0.0,0.0,3.01246551115271,2360.0,205.38929301425264,4.185904382554643,2.1505231472501176,796.5,2.491570639305446,4.0,0.0,2692.789815241675,34.49765336373367,Unknown
Acton,CA,12,2.0,2,5,5,67.24166666666666,10.0,10.709999999999999,0,0.4166666666666667,0.4166666666666667,0.0,0.0,3.01246551115271,2360.0,205.38929301425264,4.185904382554643,2.1505231472501176,796.5,2.491570639305446,4.0,0.0,2692.789815241675,34.49765336373367,Unknown
Acton,MA,2,2.0,2,0,0,27.5,8.5,4.6,1,0.0,0.0,0.5,0.0,3.01246551115271,2360.0,205.38929301425264,4.185904382554643,2.1505231472501176,796.5,2.491570639305446,4.0,0.0,2692.789815241675,34.49765336373367,Unknown
Acworth,GA,2,3.0,3,0,2,72.5,7.5,13.8,0,0.0,1.0,0.0,0.0,3.01246551115271,2360.0,205.38929301425264,4.185904382554643,2.1505231472501176,796.5,2.491570639305446,4.0,0.0,2692.789815241675,34.49765336373367,Unknown
Addison,IL,3,2.3333333333333335,3,1,1,55.96666666666667,10.0,10.766666666666666,0,0.3333333333333333,0.3333333333333333,0.0,0.0,3.01246551115271,2360.0,205.38929301425264,4.185904382554643,2.1505231472501176,796.5,2.491570639305446,4.0,0.0,2692.789815241675,34.49765336373367,Unknown
Adel,IA,1,3.0,3,0,1,32.0,10.0,15.0,0,0.0,1.0,0.0,0.0,3.01246551115271,2360.0,205.38929301425264,4.185904382554643,2.1505231472501176,796.5,2.491570639305446,4.0,0.0,2692.789815241675,34.49765336373367,Unknown
Agoura Hills,CA,11,2.0,2,4,2,67.45454545454545,9.227272727272727,11.0875,4,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.0,3.01246551115271,2360.0,205.38929301425264,4.185904382554643,2.1505231472501176,796.5,2.491570639305446,4.0,0.0,2692.789815241675,34.49765336373367,Unknown
Aguanga,CA,2,2.0,2,1,1,68.0,10.0,4.05,0,0.5,0.5,0.0,0.0,3.01246551115271,2360.0,205.38929301425264,4.185904382554643,2.1505231472501176,796.5,2.491570639305446,4.0,0.0,2692.789815241675,34.49765336373367,Unknown
Aiken,SC,10,2.0,2,4,0,74.48,9.7,7.333333333333333,0,0.4,0.0,0.0,0.0,3.01246551115271,2360.0,205.38929301425264,4.185904382554643,2.1505231472501176,796.5,2.491570639305446,4.0,0.0,2692.789815241675,34.49765336373367,Unknown
Alamo,CA,10,2.6,3,1,1,69.42999999999999,10.0,8.42,0,0.1,0.1,0.0,0.0,3.01246551115271,2360.0,205.38929301425264,4.185904382554643,2.1505231472501176,796.5,2.491570639305446,4.0,0.0,2692.789815241675,34.49765336373367,Unknown
Albany,NY,16,2.875,3,1,1,35.075,9.0,9.3625,2,0.0625,0.0625,0.125,0.0,3.01246551115271,2360.0,205.38929301425264,4.185904382554643,2.1505231472501176,796.5,2.557377049180328,4.0,183.0,2891.8196721311474,35.98491640009736,Rain
