City,State,Latitude,Longitude,Severity,Traffic_Volume,Avg_Speed,Weather_Impact,Timestamp
Springfield,IL,28.71069594113063,-88.0853782370473,4,3975,30.832949091263945,Fog,2023-10-14 02:00:00
Charlotte,NC,36.714092075093006,-119.65349648181972,2,2972,26.248043908919737,Storm,2023-11-22 01:00:00
Paterson,NJ,34.80217177270305,-118.62931455462339,2,1362,38.56835729468395,Snow,2023-08-25 23:00:00
Raleigh,NC,27.897611950095584,-71.60166486642075,3,2730,9.473483976121614,Storm,2023-01-21 13:00:00
Tucson,AZ,33.67504890249741,-73.59483506523357,4,2597,43.4960659698764,None,2023-02-14 00:00:00
San Diego,CA,45.994038711815726,-71.38231959438006,4,4108,14.987375855120625,Rain,2023-09-13 13:00:00
Pittsburgh,PA,28.875429733737533,-70.72465416070986,4,3605,58.932281635447815,Fog,2023-08-07 06:00:00
Springfield,IL,32.249608249378625,-114.86463885663791,4,1480,36.0815373074323,Fog,2023-03-20 00:00:00
San Antonio,TX,44.485188512885415,-96.38256329139784,2,3908,56.959074698641146,Rain,2023-09-02 05:00:00
Augusta,GA,30.552767929575246,-100.47164106898293,1,3105,60.165789028097024,Fog,2023-11-08 12:00:00
Newark,NJ,41.92711853520242,-91.15689031391358,4,2977,53.97532025950821,None,2023-03-31 11:00:00
Atlanta,GA,31.66259275731328,-78.57314240008873,3,2713,9.502906739341913,Storm,2023-10-24 19:00:00
Worcester,MA,36.8102884358041,-69.05598584180194,1,1644,33.57312150987485,Snow,2023-07-08 17:00:00
Columbus,GA,43.34935035700474,-77.44000593176179,1,3674,33.69534354660928,Rain,2023-11-30 03:00:00
Phoenix,AZ,44.604770228480504,-109.82754708727633,3,857,17.847069829100793,Snow,2023-10-28 00:00:00
Newark,NJ,48.18063035893714,-72.56796485606651,1,1570,29.855207635806536,Storm,2023-02-09 09:00:00
Columbus,GA,27.129327714616362,-67.08150384844816,2,3741,46.028331563409886,Fog,2023-08-13 03:00:00
Toledo,OH,45.813814068416164,-102.54373142189738,4,2097,58.227565275607205,None,2023-07-09 04:00:00
Orlando,FL,25.238877721309805,-77.8696266533652,2,3219,31.49652625284753,Rain,2023-02-21 13:00:00
Bellevue,WA,36.93460519456716,-109.52374265780368,2,1674,7.699798637790202,Storm,2023-11-29 02:00:00
Phoenix,AZ,48.66179318529181,-119.67717397090527,2,1936,17.663080726297245,Rain,2023-12-27 10:00:00
Jersey City,NJ,31.95650896021103,-68.30994017274261,3,2462,15.377155512702046,Rain,2023-12-10 19:00:00
Scottsdale,AZ,44.60154860726607,-123.1627401682686,3,2739,20.456600910015908,Snow,2023-09-05 03:00:00
Raleigh,NC,26.96937556427221,-90.81435804821791,4,4442,59.629950057961544,None,2023-12-17 02:00:00
Greensboro,NC,43.66097716934999,-82.08931480755368,2,2148,7.401411533660904,None,2023-04-23 02:00:00
Tacoma,WA,30.387130537789904,-110.02868888495769,2,1583,53.24828228854424,Fog,2023-01-31 00:00:00
Norfolk,VA,36.71284293361198,-104.9768022286667,1,1812,37.492383083145114,Fog,2023-02-04 23:00:00
Arlington,VA,46.75470639342743,-107.09895026262532,3,4469,13.148768226594473,Storm,2023-11-23 18:00:00
San Francisco,CA,42.72713591615819,-117.93829359334579,4,513,11.60644931728583,None,2023-08-24 23:00:00
Charlotte,NC,48.01779804225393,-92.40732361672458,4,2883,8.973687531369992,Fog,2023-11-18 20:00:00
Augusta,GA,42.494499022279555,-79.21822002753984,1,3226,61.51291353319475,Snow,2023-10-26 20:00:00
Columbus,GA,29.629180610451076,-108.73964677253137,1,1263,27.965949370911108,Storm,2023-10-05 03:00:00
Tacoma,WA,31.100807765516755,-99.04516010975883,3,3375,33.679198875043255,Snow,2023-05-01 01:00:00
San Diego,CA,27.82699724954271,-68.21674842579854,4,569,16.257175135793513,Fog,2023-11-11 02:00:00
Cleveland,OH,37.41683851229923,-67.73534126730071,2,1108,59.42660342337509,Rain,2023-10-02 19:00:00
Norfolk,VA,43.15327457360655,-101.35512550260191,3,4047,18.722653505788085,Fog,2023-09-14 01:00:00
San Jose,CA,39.35848637369059,-106.39514433462233,1,4235,57.44297191742723,Storm,2023-12-03 01:00:00
Cleveland,OH,47.16927182394893,-120.90202672697579,2,4780,10.115426944394308,Fog,2023-01-02 10:00:00
Columbus,OH,33.55549036793684,-86.96554342969826,2,3747,34.25582753328747,Fog,2023-10-16 22:00:00
Mesa,AZ,29.82812097900211,-75.07281283069344,2,3860,10.428699821994236,Fog,2023-06-17 22:00:00
Newark,NJ,40.85161747044124,-106.67323396841108,1,4965,27.347441656916462,Fog,2023-07-14 10:00:00
Cambridge,MA,35.47802895905053,-99.7384893397759,1,2231,42.917664182009574,Storm,2023-11-03 05:00:00
San Jose,CA,48.19195961573287,-85.88597385627294,3,1370,43.20650892300801,Fog,2023-01-07 14:00:00
Cleveland,OH,43.61652911734045,-69.54738653408972,2,3501,19.352497135651248,Storm,2023-04-15 05:00:00
Buffalo,NY,41.00107400604753,-77.65192130206489,4,959,35.94972496943605,Fog,2023-01-01 04:00:00
Erie,PA,45.05169417739906,-109.37647909658081,4,2996,18.16324930348468,Storm,2023-05-24 09:00:00
Ann Arbor,MI,34.0643637069747,-118.44508579693297,4,2919,51.94591045691629,None,2023-04-04 11:00:00
San Jose,CA,32.5211089793659,-102.96771399959917,2,891,9.929585411118584,Rain,2023-09-29 22:00:00
Richmond,VA,47.70659043402071,-102.98275991495024,1,2211,19.923556859173456,Rain,2023-05-04 11:00:00
Cambridge,MA,30.664153691427835,-84.8631267655852,1,514,6.334842183820908,Rain,2023-01-27 21:00:00
Toledo,OH,29.438947774232858,-93.60862900835231,3,579,63.23850539216528,Storm,2023-12-26 04:00:00
Los Angeles,CA,37.229204426057365,-120.76927099096892,1,3937,45.05285266053253,Rain,2023-03-15 06:00:00
Newark,NJ,31.69500194146118,-76.78445808645377,4,2085,63.03010030948455,Rain,2023-01-03 17:00:00
Norfolk,VA,43.903321460419036,-69.82721477692826,1,4610,37.0238139040538,Rain,2023-03-07 15:00:00
Lansing,MI,33.67597825718794,-83.63257413504843,2,599,51.39727801234257,None,2023-11-17 05:00:00
Phoenix,AZ,43.015440326647926,-76.06006065423914,2,1576,50.86945411783478,Fog,2023-11-10 15:00:00
Springfield,MA,32.14344332179523,-110.28704426495915,4,2929,28.15126371575417,Fog,2023-11-18 12:00:00
New York,NY,43.76997652085262,-116.89652661096996,4,1013,47.88316174006896,Snow,2023-05-01 01:00:00
San Diego,CA,25.428970048643176,-88.64526212203091,1,2093,61.00866253500086,Rain,2023-10-10 13:00:00
Charlotte,NC,35.35390893532234,-107.30720168824695,3,1044,38.29652484239655,Snow,2023-06-26 07:00:00
San Diego,CA,32.60706207130825,-106.29909306056618,4,3300,13.232122840544982,Fog,2023-04-21 05:00:00
Cincinnati,OH,36.041251600502804,-120.52710648063645,2,4333,5.605515701216943,None,2023-01-03 17:00:00
San Antonio,TX,37.56328261924185,-75.17626029650174,3,2610,31.021631204755742,Rain,2023-07-24 20:00:00
Columbus,OH,46.679729064622116,-116.17463824588538,2,4131,17.60679563980427,Rain,2023-01-16 10:00:00
Grand Rapids,MI,41.06538422724202,-81.11609785987899,1,3623,35.93980131814901,Fog,2023-12-25 14:00:00
Albany,NY,25.49815334749321,-91.30743134824674,3,2193,44.43523938074593,Rain,2023-12-30 18:00:00
Chicago,IL,33.717657872996114,-68.29420832032058,4,4287,51.26464414443341,None,2023-01-05 15:00:00
Cleveland,OH,47.25341765944386,-89.04194931025935,1,1939,43.629792779511824,None,2023-04-13 07:00:00
Jacksonville,FL,47.811893755462904,-89.1701596673638,3,1533,5.257111319898165,None,2023-09-07 23:00:00
Paterson,NJ,40.24240466157815,-118.1175790808682,1,4043,38.49255237520582,Rain,2023-07-18 01:00:00
Atlanta,GA,41.48554180927795,-103.24910560956772,4,1073,32.7393483127022,Storm,2023-11-22 11:00:00
Houston,TX,47.0366826496358,-113.81623704172014,1,2966,51.962086681211225,Snow,2023-08-06 21:00:00
Philadelphia,PA,27.42750391331731,-89.27373459110798,4,1038,47.60143898265836,Fog,2023-03-25 03:00:00
Jacksonville,FL,26.603057140696055,-115.52300492651214,3,1163,48.50995589860895,Fog,2023-09-02 21:00:00
Austin,TX,30.884786463253725,-70.9966704750726,3,1391,26.127325831727237,Fog,2023-06-20 15:00:00
Springfield,IL,26.280032500244438,-95.78636544228597,3,4184,38.20600477957588,None,2023-09-18 13:00:00
Pittsburgh,PA,36.21941348930735,-82.99156091933597,2,4901,11.636433672205722,None,2023-09-02 02:00:00
Virginia Beach,VA,43.77762746007812,-73.3373117023414,2,2828,55.48051589166651,Storm,2023-07-20 04:00:00
Detroit,MI,44.70722337254942,-101.89446922240342,2,2684,40.929406145651186,Rain,2023-06-24 19:00:00
Pittsburgh,PA,25.320852630290485,-104.19703335099138,3,2995,39.44018121146201,Storm,2023-08-26 12:00:00
Greensboro,NC,39.54684561690758,-116.70292100256789,4,1544,13.030807060737708,Fog,2023-02-18 09:00:00
San Jose,CA,32.83818210039365,-98.60825513209151,3,562,12.686470427628684,Fog,2023-08-16 17:00:00
Chicago,IL,34.31898049068384,-93.08599257887988,4,1111,7.1338614894954855,Snow,2023-01-24 09:00:00
Arlington,VA,43.96479110912523,-88.76384135470275,3,4858,63.79189501293165,Storm,2023-05-07 02:00:00
Columbus,GA,33.15846317558708,-118.56486976994644,1,3214,6.249643996880419,Snow,2023-03-04 03:00:00
Peoria,IL,45.14774732361348,-71.00603377484404,1,2173,54.5819247945328,Snow,2023-05-25 02:00:00
Trenton,NJ,41.97583551810414,-78.61504844200135,2,2396,40.004305880191005,Fog,2023-10-06 11:00:00
Worcester,MA,28.78661595388035,-97.49605910422369,3,590,13.263730676204464,None,2023-05-05 05:00:00
Austin,TX,46.28472603890578,-68.42381393422707,2,1058,45.22699125029863,Storm,2023-04-21 15:00:00
New York,NY,47.09989998674338,-85.47789717215188,2,4862,30.516362621898235,None,2023-08-05 19:00:00
Augusta,GA,47.69954616494965,-95.77726500537393,1,3639,13.411947081293697,Fog,2023-07-04 23:00:00
Raleigh,NC,27.103549983852933,-73.0618858556536,3,4704,59.33737433850536,None,2023-06-29 03:00:00
Arlington,VA,43.545841134285695,-103.8994631352949,4,751,13.02580548840082,None,2023-07-15 11:00:00
