ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-139519,Source2,2,2016-08-30 08:08:24,2016-08-30 08:53:24,28.584143,-81.392075,,,0.0,Accident on FL-424 Edgewater Dr at Maury Rd.,Edgewater Dr,Orlando,Orange,FL,32804-3601,US,US/Eastern,KORL,2016-08-30 08:13:00,75.9,,97.0,29.94,10.0,ENE,5.8,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-147819,Source2,3,2016-12-22 06:56:52,2016-12-22 07:26:22,33.890293,-84.460991,,,0.01,Right lane blocked due to accident on I-285 Westbound after Exit 20 I-75.,I-75 S,Atlanta,Cobb,GA,30339,US,US/Eastern,KMGE,2016-12-22 06:58:00,47.8,,71.0,30.22,10.0,Calm,,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-120120,Source2,2,2016-12-28 08:53:14,2016-12-28 09:22:57,27.809502,-82.753738,,,0.01,Accident on Park St both ways at US-19 Alt Bay Pines Blvd.,Tyrone Blvd N,Saint Petersburg,Pinellas,FL,33709-4125,US,US/Eastern,KPIE,2016-12-28 08:53:00,69.1,,90.0,30.19,10.0,NNE,3.5,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-30335,Source2,2,2016-09-07 12:01:55,2016-09-07 12:31:55,36.667747,-121.808739,,,0.0,Accident on Imjin Pkwy at 2nd Ave.,Imjin Pkwy,Marina,Monterey,CA,93933,US,US/Pacific,KMRY,2016-09-07 11:54:00,73.9,,46.0,29.96,9.0,NW,3.5,,Clear,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-170819,Source2,2,2016-11-01 17:52:08,2016-11-01 18:36:54,41.750454,-88.04079399999998,,,0.01,Slow traffic due to accident on 75th St at Janes Ave.,Janes Ave,Woodridge,Dupage,IL,60517-2314,US,US/Central,KLOT,2016-11-01 17:55:00,68.4,,71.0,29.95,10.0,SSW,3.5,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-180140,Source2,2,2016-12-13 11:39:40,2016-12-13 12:09:18,43.257359,-86.206551,,,0.01,Entry ramp closed due to accident on US-31 Southbound at Exit 116 US-31 Bus Moses J Jones Pkwy.,US-31 S,Muskegon,Muskegon,MI,49442,US,US/Eastern,KMKG,2016-12-13 11:55:00,21.9,9.2,68.0,30.13,10.0,WNW,13.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-39536,Source2,2,2016-05-22 05:28:51,2016-05-22 06:13:51,38.399319,-122.785355,,,0.01,Accident on Llano Rd at Doyle Rd.,Llano Rd,Santa Rosa,Sonoma,CA,95407-6445,US,US/Pacific,KSTS,2016-05-22 05:28:00,44.1,,100.0,30.07,8.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-135880,Source2,2,2016-08-03 10:34:45,2016-08-03 11:04:45,27.821102000000003,-82.67543,,,0.0,Accident on 31st St at 54th Ave.,54th Ave N,Saint Petersburg,Pinellas,FL,33714,US,US/Eastern,KSPG,2016-08-03 10:53:00,82.0,,74.0,30.06,10.0,South,6.9,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2234,Source2,2,2016-07-06 08:35:36,2016-07-06 09:05:36,38.018745,-121.94288600000002,,,0.0,Delays due to accident on Bailey Rd at CA-4.,CA-4 E,Pittsburg,Contra Costa,CA,94565,US,US/Pacific,KCCR,2016-07-06 08:53:00,62.1,,62.0,29.93,10.0,South,16.1,,Partly Cloudy,False,False,False,False,False,False,True,False,True,False,False,False,False,Day,Day,Day,Day
A-107042,Source2,2,2016-05-12 15:17:54,2016-05-12 16:02:54,34.023418,-117.747627,,,0.01,Accident on CA-60 Westbound at Exits 29A 29B CA-71. Expect delays.,Pomona Fwy W,Pomona,Los Angeles,CA,91766,US,US/Pacific,KPOC,2016-05-12 14:47:00,84.2,,35.0,30.0,10.0,West,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
